transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,date_clean,amount_clean,is_refund,category_clean,location_clean,is_outlier
T4999,U018,4/25/2023,Expense,Educaton,3888,card,Ahmedabad,2023-04-25,3888.0,False,Education,Ahmedabad,False
T12828,U133,8/5/2022,Expense,rent,649,,Hyderabad,2022-08-05,649.0,False,Rent,Hyderabad,False
T7403,U091,31-12-23,Income,Freelance,13239,Csh,BAN,2023-12-31,13239.0,False,Freelance,Bangalore,False
T7495,U088,10/28/2022,Expense,entertainment,2287,CARD,Hyderabad,2022-10-28,2287.0,False,Entertainment,Hyderabad,False
T12465,U042,4/11/2024,Expense,Foods,4168,,,2024-04-11,4168.0,False,Food,Kolkata,False
T4518,U026,8/16/2022,Expense,education,Rs.828,Crd,Lucknow,2022-08-16,828.0,False,Education,Lucknow,False
T9824,U061,12/12/2024,Income,Salary,62061,CRD,AHM,2024-12-12,62061.0,False,Salary,Ahmedabad,True
T0741,U053,13-03-24,Expense,Utilties,₹5070,upi,KOL,2024-03-13,5070.0,False,Utilities,Kolkata,False
T12403,U004,11/10/2023,Income,Others,59543,UPI,LUC,2023-11-10,59543.0,False,Others,Lucknow,True
T5282,U016,4/15/2022,Expense,Utilties,999999999,Crd,DEL,2022-04-15,999999999.0,False,Utilities,Delhi,True
T9446,U006,6/29/2022,Expense,Utlities,5767,Bank Transfer,BANGALORE,2022-06-29,5767.0,False,Utilities,Bangalore,False
T3016,U099,2/24/2022,Expense,Rentt,23760,CRD,BANGALORE,2022-02-24,23760.0,False,Rent,Bangalore,True
T11564,U148,8/28/2023,Expense,Food,898,UPI,LUC,2023-08-28,898.0,False,Food,Lucknow,False
T11382,U111,2/6/2023,Income,Freelance,25143,card,CHENNAI,2023-02-06,25143.0,False,Freelance,Chennai,True
T3133,U024,17-07-24,Expense,rent,9567,bank transfer,PUNE,2024-07-17,9567.0,False,Rent,Pune,False
T1982,U089,2/27/2021,Income,Others,49683,,lucknow,2021-02-27,49683.0,False,Others,Lucknow,True
T7154,U039,21-09-2024,Expense,FOOD,222,UPI,Bangalore,2024-09-21,222.0,False,Food,Bangalore,False
T2699,U092,25-02-23,Expense,Travel,₹2553,UPi,LUC,2023-02-25,2553.0,False,Travel,Lucknow,False
T5774,U005,2/14/2021,Expense,food,7406,card,BANGALORE,2021-02-14,7406.0,False,Food,Bangalore,False
T12850,U076,6/9/2021,Expense,rent,3010,UPI,KOL,2021-06-09,3010.0,False,Rent,Kolkata,False
T6195,U038,20-11-2024,Income,Salary,855881,BankTransfer,Jaipur,2024-11-20,855881.0,False,Salary,Jaipur,True
T5731,U027,2/4/2023,Expense,Foods,2206,Bank_Transfer,,2023-02-04,2206.0,False,Food,Chennai,False
T0909,U013,4/20/2024,Expense,Entertainment,7038,card,JAI,2024-04-20,7038.0,False,Entertainment,Jaipur,False
T7565,U075,24-01-22,Expense,Travl,4286,BankTransfer,hyderabad,2022-01-24,4286.0,False,Travel,Hyderabad,False
T1653,U099,12/16/2024,Expense,education,8119,CARD,Hyderabad,2024-12-16,8119.0,False,Education,Hyderabad,False
T6239,U150,28-12-21,Expense,education,₹4189,Card,Bangalore,2021-12-28,4189.0,False,Education,Bangalore,False
T2849,U150,10/10/2022,Income,Investment,19947,Bank Transfr,LUCKNOW,2022-10-10,19947.0,False,Investment,Lucknow,True
T3127,U023,5/22/2021,Expense,FOOD,5107 INR,upi,,2021-05-22,5107.0,False,Food,Lucknow,False
T4949,U101,3/1/2023,Expense,Foodd,3865,BankTransfer,JAI,2023-03-01,3865.0,False,Food,Jaipur,False
T3563,U007,5/5/2021,Expense,Travel,2407,CRD,CHE,2021-05-05,2407.0,False,Travel,Chennai,False
T10891,U055,9/8/2024,Expense,Food,3085,CARD,JAIPUR,2024-09-08,3085.0,False,Food,Jaipur,False
T10872,U080,2/22/2023,Expense,HEALTH,5252,,Delhi,2023-02-22,5252.0,False,Health,Delhi,False
T6786,U017,12/15/2022,Expense,rent,1380 INR,Bank Transfr,hyderabad,2022-12-15,1380.0,False,Rent,Hyderabad,False
T1215,U150,29-12-23,Expense,Others,4823,Cash,Ahmedabad,2023-12-29,4823.0,False,Others,Ahmedabad,False
T5293,U044,23-02-21,Expense,Helth,8497,,KOLKATA,2021-02-23,8497.0,False,Health,Kolkata,False
T12220,U122,11/14/2023,Expense,Foods,999999,UPi,LUC,2023-11-14,999999.0,False,Food,Lucknow,True
T2003,U149,4/15/2021,Expense,Travel,8241,upi,,2021-04-15,8241.0,False,Travel,Delhi,False
T9452,U062,24-09-23,Expense,rent,8579,bank transfer,AHMEDABAD,2023-09-24,8579.0,False,Rent,Ahmedabad,False
T4924,U082,5/25/2022,Expense,Foods,235,card,CHENNAI,2022-05-25,235.0,False,Food,Chennai,False
T11911,U069,22-06-2023,Expense,Foodd,1263,upi,lucknow,2023-06-22,1263.0,False,Food,Lucknow,False
T11270,U022,8/9/2023,Expense,HEALTH,2134,Bank Transfr,JAI,2023-08-09,2134.0,False,Health,Jaipur,False
T13032,U150,6/19/2021,Expense,Education,2228,Cash,DELHI,2021-06-19,2228.0,False,Education,Delhi,False
T6095,U110,1/11/2024,Expense,RENT,4641 INR,BankTransfer,delhi,2024-01-11,4641.0,False,Rent,Delhi,False
T0361,U055,8/16/2023,Expense,utilities,1081,CRD,PUNE,2023-08-16,1081.0,False,Utilities,Pune,False
T7314,U103,26-02-2022,Expense,entertainment,371,Csh,MUM,2022-02-26,371.0,False,Entertainment,Mumbai,False
T11430,U108,7/10/2021,Expense,Food,225,Crd,Pune,2021-07-10,225.0,False,Food,Pune,False
T12663,U052,4/15/2023,Expense,Rent,23776,Upi,Bangalore,2023-04-15,23776.0,False,Rent,Bangalore,True
T6106,U008,23-04-23,Expense,HEALTH,6707,card,DELHI,2023-04-23,6707.0,False,Health,Delhi,False
T1623,U017,4/10/2021,Expense,Utlities,601,bank transfer,JAIPUR,2021-04-10,601.0,False,Utilities,Jaipur,False
T13765,U034,9/5/2024,Expense,Others,3219,csh,hyderabad,2024-09-05,3219.0,False,Others,Hyderabad,False
T5930,U011,4/21/2024,Expense,savings,8111,,DEL,2024-04-21,8111.0,False,Savings,Delhi,False
T1627,U069,4/18/2022,Expense,Utilties,Rs.5554,Bank Transfer,HYDERABAD,2022-04-18,5554.0,False,Utilities,Hyderabad,False
T4242,U053,8/15/2024,Income,Salary,₹41573,Bank Transfr,mumbai,2024-08-15,41573.0,False,Salary,Mumbai,True
T12437,U004,12/1/2024,Expense,EDU,3110,BankTransfer,chennai,2024-12-01,3110.0,False,Education,Chennai,False
T8670,U030,25-07-24,Expense,Foodd,4277,Crd,PUNE,2024-07-25,4277.0,False,Food,Pune,False
T11341,U127,17-01-24,Expense,Foods,3047,CRD,Mumbai,2024-01-17,3047.0,False,Food,Mumbai,False
T9556,U008,6/27/2024,Income,Freelance,10183,,DELHI,2024-06-27,10183.0,False,Freelance,Delhi,False
T2449,U028,4/16/2022,Expense,Travel,9888,bank transfer,DEL,2022-04-16,9888.0,False,Travel,Delhi,False
T4357,U088,7/3/2024,Expense,Rentt,7217,cash,DELHI,2024-07-03,7217.0,False,Rent,Delhi,False
T0815,U141,10/5/2021,Expense,Education,9725,Bank Transfr,CHE,2021-10-05,9725.0,False,Education,Chennai,False
T7919,U086,5/27/2023,Expense,entertainment,9648,Bank Transfr,kolkata,2023-05-27,9648.0,False,Entertainment,Kolkata,False
T5695,U061,10/22/2023,Expense,Traval,1643,CARD,Mumbai,2023-10-22,1643.0,False,Travel,Mumbai,False
T2471,U066,12/23/2021,Expense,Education,7397 INR,Csh,DEL,2021-12-23,7397.0,False,Education,Delhi,False
T3475,U046,12/10/2022,Income,Freelance,70075,Upi,Kolkata,2022-12-10,70075.0,False,Freelance,Kolkata,True
T5875,U081,10/31/2021,Expense,Foods,Rs.864,Bank Transfr,Mumbai,2021-10-31,864.0,False,Food,Mumbai,False
T10128,U104,9/6/2024,Expense,,6228,Cash,hyderabad,2024-09-06,6228.0,False,Uncategorized,Hyderabad,False
T3491,U061,4/10/2024,Expense,Educaton,1206,cash,Ahmedabad,2024-04-10,1206.0,False,Education,Ahmedabad,False
