Transaction_id,User_id,Date_cleaned,Transaction_Type,Category_Clean,Amount_Clean,Is_Refund,is_Outlier,Payment_Mode_Clean,Location_Clean
T4999,U018,2023-04-25,Expense,Education,3888,NO,NO,CARD,Ahmedabad
T12828,U133,2022-08-05,Expense,Rent,649,NO,NO,UNKNOWN,Hyderabad
T7403,U091,2023-12-31,Income,Freelance,13239,NO,NO,CASH,Bangalore
T7495,U088,2022-10-28,Expense,Food,2287,NO,NO,CARD,Hyderabad
T12465,U042,2024-04-11,Expense,Education,4168,NO,NO,UNKNOWN,Unknown
T4518,U026,2022-08-16,Expense,Salary,828,NO,NO,CARD,Lucknow
T9824,U061,2024-12-12,Income,Utilities,62061,NO,NO,CARD,Ahmedabad
T0741,U053,2024-03-13,Expense,Others,5070,NO,NO,UPI,Kolkata
T12403,U004,2023-11-10,Income,Utilities,59543,NO,NO,UPI,Lucknow
T5282,U016,2022-04-15,Expense,Utilities,999999999,NO,YES,CARD,Delhi
T6861,U112,2021-04-18,Expense,Utilities,4262,NO,NO,UPI,Ahmedabad
T9446,U006,2022-06-29,Expense,Rent,5767,NO,NO,BANK TRANSFER,Bangalore
T3016,U099,2022-02-24,Expense,Food,23760,NO,NO,CARD,Bangalore
T11564,U148,2023-08-28,Expense,Freelance,898,NO,NO,UPI,Lucknow
T11382,U111,2023-02-06,Income,Rent,25143,NO,NO,CARD,Chennai
T3133,U024,2024-07-17,Expense,Others,9567,NO,NO,BANK TRANSFER,Pune
T1982,U089,2021-02-27,Income,Food,49683,NO,NO,UNKNOWN,Lucknow
T7154,U039,2024-09-21,Expense,Travel,222,NO,NO,UPI,Bangalore
T2699,U092,2023-02-25,Expense,Food,2553,NO,NO,UPI,Lucknow
T5774,U005,2021-02-14,Expense,Rent,7406,NO,NO,CARD,Bangalore
T12850,U076,2021-06-09,Expense,Salary,3010,NO,NO,UPI,Kolkata
T6195,U038,2024-11-20,Income,Entertainment,855881,NO,YES,BANK TRANSFER,Jaipur
T5731,U027,2023-02-04,Expense,Education,2206,NO,NO,BANK TRANSFER,Unknown
T0909,U013,2024-04-20,Expense,Education,7038,NO,NO,CARD,Jaipur
T7565,U075,2022-01-24,Expense,Investment,4286,NO,NO,BANK TRANSFER,Hyderabad
T1653,U099,2024-12-16,Expense,Food,8119,NO,NO,CARD,Hyderabad
T6239,U150,2021-12-28,Expense,Food,4189,NO,NO,CARD,Bangalore
T2849,U150,2022-10-10,Income,Travel,19947,NO,NO,BANK TRANSFER,Lucknow
T3127,U023,2021-05-22,Expense,Food,5107,NO,NO,UPI,Unknown
T4949,U101,2023-03-01,Expense,Health,3865,NO,NO,BANK TRANSFER,Jaipur
T3563,U007,2021-05-05,Expense,Rent,2407,NO,NO,CARD,Chennai
T10891,U055,2024-09-08,Expense,Rent,3085,NO,NO,CARD,Jaipur
T10872,U080,2023-02-22,Expense,Others,5252,NO,NO,UNKNOWN,Delhi
T6786,U017,2022-12-15,Expense,Health,1380,NO,NO,BANK TRANSFER,Hyderabad
T3396,U136,2021-09-22,Expense,Food,7619,NO,NO,CASH,Pune
T1215,U150,2023-12-29,Expense,Travel,4823,NO,NO,CASH,Ahmedabad
T5293,U044,2021-02-23,Expense,Rent,8497,NO,NO,UNKNOWN,Kolkata
T12220,U122,2023-11-14,Expense,Food,999999,NO,YES,UPI,Lucknow
T2003,U149,2021-04-15,Expense,Food,8241,NO,NO,UPI,Unknown
T9452,U062,2023-09-24,Expense,Health,8579,NO,NO,BANK TRANSFER,Ahmedabad
T4924,U082,2022-05-25,Expense,Education,235,NO,NO,CARD,Chennai
T11911,U069,2023-06-22,Expense,Rent,1263,NO,NO,UPI,Lucknow
T11270,U022,2023-08-09,Expense,Utilities,2134,NO,NO,BANK TRANSFER,Jaipur
T13032,U150,2021-06-19,Expense,Entertainment,2228,NO,NO,CASH,Delhi
T6095,U110,2024-01-11,Expense,Food,4641,NO,NO,BANK TRANSFER,Delhi
T0361,U055,2023-08-16,Expense,Rent,1081,NO,NO,CARD,Pune
T7314,U103,2022-02-26,Expense,Health,371,NO,NO,CASH,Mumbai
T11430,U108,2021-07-10,Expense,Food,225,NO,NO,CARD,Pune
T12663,U052,2023-04-15,Expense,Utilities,23776,NO,NO,UPI,Bangalore
T6106,U008,2023-04-23,Expense,Others,6707,NO,NO,CARD,Delhi
T9628,U096,2024-03-22,Expense,Savings,8380,NO,NO,BANK TRANSFER,Hyderabad
T1623,U017,2021-04-10,Expense,Utilities,601,NO,NO,BANK TRANSFER,Jaipur
T13765,U034,2024-09-05,Expense,Salary,3219,NO,NO,CASH,Hyderabad
T5930,U011,2024-04-21,Expense,Food,8111,NO,NO,UNKNOWN,Delhi
T1627,U069,2022-04-18,Expense,Food,5554,NO,NO,BANK TRANSFER,Hyderabad
T4242,U053,2024-08-15,Income,Freelance,41573,NO,NO,BANK TRANSFER,Mumbai
T12437,U004,2024-12-01,Expense,Travel,3110,NO,NO,BANK TRANSFER,Chennai
T8670,U030,2024-07-25,Expense,Rent,4277,NO,NO,CARD,Pune
T11341,U127,2024-01-17,Expense,Education,3047,NO,NO,CARD,Mumbai
T9556,U008,2024-06-27,Income,Entertainment,10183,NO,NO,UNKNOWN,Delhi
T2449,U028,2022-04-16,Expense,Travel,9888,NO,NO,BANK TRANSFER,Delhi
T4357,U088,2024-07-03,Expense,Education,7217,NO,NO,CASH,Delhi
T0815,U141,2021-10-05,Expense,Freelance,9725,NO,NO,BANK TRANSFER,Chennai
T7919,U086,2023-05-27,Expense,Food,9648,NO,NO,BANK TRANSFER,Kolkata
T5695,U061,2023-10-22,Expense,Uncategorised,1643,NO,NO,CARD,Mumbai
T2471,U066,2021-12-23,Expense,Education,7397,NO,NO,CASH,Delhi
T3475,U046,2022-12-10,Income,Education,70075,NO,NO,UPI,Kolkata
T5875,U081,2021-10-31,Expense,Education,864,NO,NO,BANK TRANSFER,Mumbai
T10128,U104,2024-09-06,Expense,Food,6228,NO,NO,CASH,Hyderabad
T3491,U061,2024-04-10,Expense,Health,1206,NO,NO,CASH,Ahmedabad
T2225,U028,2023-07-06,Expense,Rent,8204,NO,NO,CARD,Unknown
T6946,U068,2024-06-23,Expense,Bonus,5756,NO,NO,UPI,Hyderabad
T2022,U056,2021-12-20,Expense,Utilities,5576,NO,NO,BANK TRANSFER,Delhi
T13529,U123,2021-11-05,Expense,Health,9771,NO,NO,BANK TRANSFER,Pune
T12210,U118,2022-01-25,Expense,Rent,20509,NO,NO,BANK TRANSFER,Bangalore
T6904,U063,2024-09-13,Income,Travel,62193,NO,NO,UPI,Chennai
T0713,U055,2023-08-22,Expense,Utilities,3367,NO,NO,BANK TRANSFER,Ahmedabad
T7323,U009,2024-05-13,Expense,Travel,2721,NO,NO,UPI,Bangalore
T10231,U089,2023-02-13,Expense,Travel,2962,NO,NO,UPI,Ahmedabad
T11570,U052,2022-09-23,Expense,Entertainment,8283,NO,NO,CARD,Ahmedabad
T13926,U134,2024-09-16,Expense,Investment,3520,NO,NO,CASH,Mumbai
T0884,U115,2024-04-07,Expense,Others,5524,NO,NO,BANK TRANSFER,Hyderabad
T5033,U119,2021-12-18,Expense,Rent,999999,NO,YES,UPI,Pune
T8492,U101,2024-11-14,Expense,Entertainment,1800,NO,NO,BANK TRANSFER,Ahmedabad
T4699,U090,2023-08-07,Income,Rent,32146,NO,NO,CASH,Delhi
T1841,U097,2021-03-10,Income,Travel,57173,NO,NO,CASH,Unknown
T3041,U018,2021-07-11,Expense,Travel,2966,NO,NO,CASH,Bangalore
T7693,U116,2024-08-31,Expense,Food,1004,NO,NO,BANK TRANSFER,Kolkata
T0071,U078,2024-04-26,Expense,Food,6141,NO,NO,CASH,Pune
T12197,U026,2022-04-18,Expense,Bonus,9154,NO,NO,CARD,Delhi
T8563,U080,2024-12-29,Expense,Utilities,9705,NO,NO,CASH,Unknown
T6626,U049,2022-08-14,Expense,Savings,2637,NO,NO,CASH,Jaipur
T7302,U102,2024-09-19,Expense,Entertainment,1073,NO,NO,CARD,Lucknow
T3552,U095,2024-01-21,Income,Food,34145,NO,NO,BANK TRANSFER,Hyderabad
T1620,U040,2024-08-30,Expense,Rent,527,NO,NO,CASH,Mumbai
T7912,U115,2022-06-15,Expense,Food,5195,NO,NO,UPI,Lucknow
T3571,U064,2024-10-05,Expense,Health,3143,NO,NO,UPI,Chennai
T10957,U081,2023-08-06,Expense,Freelance,2135,NO,NO,CASH,Lucknow
T0294,U080,2024-12-25,Expense,Uncategorised,2163,NO,NO,UPI,Mumbai
T9414,U149,2024-06-09,Expense,Bonus,42078,NO,NO,UPI,Kolkata
T10537,U079,2023-08-01,Expense,Education,2778,NO,NO,UPI,Ahmedabad
T1125,U105,2024-11-22,Expense,Health,3929,NO,NO,CARD,Unknown
T8978,U103,2024-05-10,Income,Entertainment,23852,NO,NO,CARD,Lucknow
T5936,U022,2021-06-13,Expense,Bonus,6856,NO,NO,UNKNOWN,Chennai
T3751,U103,2024-05-31,Income,Travel,49639,NO,NO,UNKNOWN,Hyderabad
T0626,U122,2024-08-19,Expense,Travel,3150,NO,NO,BANK TRANSFER,Chennai
T9500,U090,2022-06-07,Expense,Health,9408,NO,NO,CASH,Hyderabad
T1537,U056,2022-06-25,Expense,Bonus,4114,NO,NO,UPI,Delhi
T9185,U117,2022-12-12,Income,Utilities,14249,NO,NO,BANK TRANSFER,Lucknow
T7093,U096,2023-03-29,Expense,Travel,9681,NO,NO,UPI,Delhi
T1990,U121,2022-03-29,Expense,Entertainment,3011,NO,NO,CARD,Kolkata
T4706,U150,2024-06-13,Expense,Food,3150,NO,NO,UPI,Jaipur
T8416,U133,2023-05-05,Income,Education,32789,NO,NO,CASH,Bangalore
T11932,U100,2023-02-10,Expense,Travel,6704,NO,NO,UPI,Mumbai
T4683,U062,2022-08-27,Expense,Freelance,4427,NO,NO,CARD,Chennai
T10528,U071,2021-11-27,Expense,Travel,3121,NO,NO,BANK TRANSFER,Pune
T10806,U149,2024-05-19,Expense,Utilities,3802,NO,NO,UPI,Jaipur
T10505,U099,2021-03-06,Expense,Investment,544,NO,NO,UPI,Ahmedabad
T13682,U145,2023-03-09,Expense,Travel,9053,NO,NO,UNKNOWN,Lucknow
T12807,U029,2021-06-05,Income,Utilities,32381,NO,NO,BANK TRANSFER,Chennai
T6557,U007,2023-01-28,Expense,Education,8305,NO,NO,UPI,Pune
T0409,U137,2021-02-08,Expense,Rent,8841,NO,NO,UNKNOWN,Mumbai
T10784,U022,2021-04-30,Income,Rent,46219,NO,NO,CARD,Lucknow
T2457,U054,2021-03-10,Expense,Travel,9800,NO,NO,CASH,Mumbai
T12395,U062,2021-04-10,Expense,Rent,4451,NO,NO,BANK TRANSFER,Mumbai
T1882,U101,2022-09-25,Expense,Investment,9358,NO,NO,CARD,Mumbai
T13924,U035,2021-08-24,Expense,Rent,3569,NO,NO,CASH,Jaipur
T13453,U110,2024-11-05,Expense,Salary,2979,NO,NO,CASH,Hyderabad
T9836,U058,2024-09-11,Expense,Savings,1863,NO,NO,BANK TRANSFER,Hyderabad
T13845,U066,2022-06-24,Expense,Health,34984,NO,NO,UPI,Chennai
T11381,U107,2024-05-12,Income,Rent,44031,NO,NO,BANK TRANSFER,Hyderabad
T5758,U049,2023-08-04,Expense,Investment,21771,NO,NO,UPI,Chennai
T12059,U077,2021-12-11,Income,Food,24920,NO,NO,UPI,Chennai
T8889,U131,2021-01-07,Expense,Rent,8861,NO,NO,BANK TRANSFER,Pune
T10327,U136,2022-05-25,Expense,Food,4201,NO,NO,BANK TRANSFER,Kolkata
T4967,U113,2022-02-17,Expense,Food,47473,NO,NO,BANK TRANSFER,Hyderabad
T11849,U040,2021-12-06,Income,Bonus,75822,NO,NO,CASH,Mumbai
T5167,U014,2021-10-26,Expense,Uncategorised,677,NO,NO,BANK TRANSFER,Mumbai
T3952,U120,2024-08-26,Expense,Rent,43252,NO,NO,CASH,Delhi
T5844,U086,2021-04-24,Expense,Misc,2615,NO,NO,CARD,Lucknow
T13040,U009,2024-06-04,Expense,Others,2855,NO,NO,UPI,Bangalore
T3167,U145,2021-11-28,Income,Others,57358,NO,NO,CASH,Delhi
T8867,U105,2022-11-14,Expense,Entertainment,6348,NO,NO,CARD,Mumbai
T5926,U016,2024-07-13,Expense,Food,4583,NO,NO,BANK TRANSFER,Unknown
T13662,U129,2021-10-18,Expense,Travel,4952,NO,NO,CASH,Hyderabad
T13593,U018,2024-03-11,Expense,Savings,3941,NO,NO,BANK TRANSFER,Mumbai
T12216,U116,2023-04-21,Income,Food,47262,NO,NO,BANK TRANSFER,Kolkata
T8335,U001,2021-06-19,Expense,Utilities,1998,NO,NO,UPI,Lucknow
T4933,U018,2021-03-17,Expense,Utilities,8124,NO,NO,UNKNOWN,Pune
T7036,U105,2021-01-12,Expense,Rent,1326,NO,NO,CARD,Unknown
T9072,U066,2024-09-26,Expense,Utilities,4328,NO,NO,UPI,Mumbai
T8270,U081,2023-04-04,Expense,Travel,276,NO,NO,BANK TRANSFER,Pune
T12265,U094,2022-04-02,Expense,Utilities,4215,NO,NO,CARD,Hyderabad
T4637,U005,2023-11-04,Expense,Food,6316,NO,NO,UPI,Pune
T9022,U089,2024-03-10,Expense,Food,21376,NO,NO,UPI,Chennai
T7016,U145,2021-01-09,Expense,Uncategorised,7391,NO,NO,CASH,Hyderabad
T12109,U144,2023-05-31,Expense,Food,2990,NO,NO,UPI,Mumbai
T9952,U045,2022-12-24,Expense,Entertainment,2230,NO,NO,UNKNOWN,Delhi
T13401,U064,2021-09-17,Expense,Rent,6197,NO,NO,UPI,Unknown
T11100,U142,2021-06-05,Expense,Travel,6502,NO,NO,CARD,Jaipur
T4072,U067,2021-07-11,Expense,Education,6902,NO,NO,CARD,Delhi
T8303,U091,2024-05-05,Expense,Utilities,0,NO,NO,BANK TRANSFER,Kolkata
T9115,U060,2022-04-21,Expense,Travel,9939,NO,NO,BANK TRANSFER,Pune
T2668,U126,2022-12-30,Expense,Education,1518,NO,NO,BANK TRANSFER,Lucknow
T1256,U035,2021-06-03,Expense,Utilities,2985,NO,NO,CASH,Delhi
T7219,U002,2024-06-28,Expense,Education,3150,NO,NO,BANK TRANSFER,Ahmedabad
T7845,U014,2024-12-27,Expense,Utilities,6671,NO,NO,UPI,Ahmedabad
T4986,U124,2023-07-04,Expense,Utilities,1409,NO,NO,UPI,Chennai
T1883,U047,2024-07-20,Expense,Rent,2497,NO,NO,BANK TRANSFER,Kolkata
T7034,U108,2021-03-24,Expense,Freelance,6324,NO,NO,CARD,Chennai
T11835,U125,2022-04-12,Expense,Uncategorised,7315,NO,NO,BANK TRANSFER,Jaipur
T0231,U031,2023-02-08,Expense,Food,7080,NO,NO,BANK TRANSFER,Kolkata
T2017,U090,2022-01-14,Expense,Food,7821,NO,NO,CASH,Pune
T9479,U114,2021-08-14,Expense,Food,988,NO,NO,UPI,Unknown
T1312,U070,2022-12-15,Income,Bonus,23504,NO,NO,BANK TRANSFER,Hyderabad
T0010,U017,2024-04-19,Expense,Salary,1064,NO,NO,CASH,Ahmedabad
T11433,U083,2021-10-12,Expense,Education,2683,NO,NO,CASH,Delhi
T4446,U017,2023-11-30,Expense,Freelance,5022,NO,NO,CASH,Hyderabad
T2782,U093,2021-04-01,Expense,Food,7849,NO,NO,UNKNOWN,Pune
T11291,U040,2024-06-10,Income,Entertainment,33565,NO,NO,CASH,Hyderabad
T6224,U092,2024-11-04,Income,Salary,66678,NO,NO,BANK TRANSFER,Chennai
T4124,U119,2024-03-05,Expense,Health,6304,NO,NO,UPI,Pune
T10115,U091,2022-02-23,Income,Food,50009,NO,NO,BANK TRANSFER,Pune
T3531,U134,2021-08-07,Expense,Education,5811,NO,NO,BANK TRANSFER,Pune
T1066,U057,2023-02-05,Expense,Food,7713,NO,NO,UPI,Pune
T9037,U142,2022-12-19,Income,Travel,70693,NO,NO,CASH,Ahmedabad
T12498,U012,2024-03-20,Expense,Health,2603,NO,NO,CASH,Kolkata
T6556,U037,2023-12-22,Expense,Rent,314,NO,NO,CASH,Mumbai
T4233,U089,2024-10-30,Expense,Entertainment,9806,NO,NO,BANK TRANSFER,Chennai
T1925,U060,2023-02-04,Expense,Others,3762,NO,NO,BANK TRANSFER,Hyderabad
T9678,U092,2021-03-15,Expense,Health,9891,NO,NO,UPI,Unknown
T3468,U143,2024-08-09,Expense,Uncategorised,6869,NO,NO,CARD,Jaipur
T2217,U113,2023-04-02,Expense,Food,6756,NO,NO,BANK TRANSFER,Pune
T7901,U028,2021-09-07,Expense,Freelance,356,NO,NO,BANK TRANSFER,Jaipur
T9324,U093,2021-10-03,Income,Entertainment,20156,NO,NO,CASH,Pune
T6515,U121,2024-03-16,Expense,Freelance,3790,NO,NO,CARD,Ahmedabad
T3401,U071,2021-10-07,Expense,Utilities,6766,NO,NO,CARD,Bangalore
T2246,U061,2021-04-01,Expense,Rent,3765,NO,NO,BANK TRANSFER,Chennai
T10375,U013,2023-08-06,Income,Investment,0,NO,NO,BANK TRANSFER,Delhi
T7960,U028,2021-07-25,Expense,Food,4638,NO,NO,CARD,Unknown
T13793,U141,2021-09-23,Income,Entertainment,11650,NO,NO,CASH,Hyderabad
T7316,U144,2024-02-22,Expense,Rent,5790,NO,NO,UNKNOWN,Pune
T4875,U076,2024-06-16,Expense,Food,12435,NO,NO,UPI,Lucknow
T1216,U042,2022-01-31,Income,Investment,31183,NO,NO,BANK TRANSFER,Jaipur
T11898,U035,2023-04-13,Expense,Rent,775,NO,NO,UPI,Unknown
T3071,U139,2021-11-03,Expense,Rent,8230,NO,NO,BANK TRANSFER,Lucknow
T12468,U043,2024-12-14,Expense,Utilities,5582,NO,NO,UPI,Ahmedabad
T5511,U114,2024-04-20,Expense,Food,5918,NO,NO,BANK TRANSFER,Pune
T5607,U093,2024-02-05,Income,Bonus,73830,NO,NO,UPI,Pune
T9770,U040,2021-02-21,Expense,Food,23340,NO,NO,CARD,Lucknow
T11278,U009,2022-07-19,Expense,Education,40813,NO,NO,UPI,Delhi
T10427,U077,2024-12-31,Expense,Travel,3414,NO,NO,UPI,Pune
T1377,U044,2022-03-31,Expense,Travel,2033,NO,NO,UPI,Mumbai
T2469,U038,2023-11-30,Income,Rent,44932,NO,NO,BANK TRANSFER,Kolkata
T6621,U104,2022-08-14,Expense,Investment,999999,NO,YES,CASH,Jaipur
T7679,U079,2024-05-03,Expense,Health,2274,NO,NO,CASH,Hyderabad
T8635,U039,2023-02-28,Expense,Food,330,NO,NO,BANK TRANSFER,Chennai
T4874,U123,2024-12-30,Expense,Entertainment,8592,NO,NO,CASH,Pune
T3143,U025,2023-05-01,Expense,Others,6779,NO,NO,CASH,Delhi
T13475,U033,2022-01-12,Income,Food,29235,NO,NO,BANK TRANSFER,Unknown
T8560,U023,2023-04-02,Expense,Entertainment,2143,NO,NO,CARD,Delhi
T8417,U089,2022-05-17,Expense,Rent,4945,NO,NO,CARD,Ahmedabad
T8379,U106,2021-10-16,Expense,Travel,8152,NO,NO,UPI,Delhi
T13913,U006,2022-12-07,Expense,Rent,7300,NO,NO,BANK TRANSFER,Pune
T11359,U135,2024-04-06,Expense,Travel,4603,NO,NO,BANK TRANSFER,Ahmedabad
T8916,U035,2022-10-13,Expense,Rent,4719,NO,NO,CARD,Mumbai
T5752,U112,2022-12-05,Expense,Entertainment,27792,NO,NO,BANK TRANSFER,Pune
T11316,U053,2022-06-10,Expense,Food,6691,NO,NO,CARD,Hyderabad
T4377,U065,2022-04-05,Expense,Rent,5935,NO,NO,BANK TRANSFER,Hyderabad
T10191,U150,2024-02-26,Expense,Others,9750,NO,NO,UPI,Mumbai
T10267,U128,2021-10-19,Expense,Health,6484,NO,NO,UPI,Jaipur
